Date,Open,High,Low,Close,Adj Close,Volume
10/15/18,60.509998,60.509998,60.16,60.16,55.78458,3800
10/16/18,60.595001,61.470001,60.595001,61.459999,56.990032,35600
10/17/18,61.52,61.52,61.099998,61.278,56.821266,9400
10/18/18,61.172001,61.172001,60.360001,60.529999,56.12767,2600
10/19/18,60.75,60.990002,60.299999,60.5,56.09985,8300
10/22/18,60.689999,60.689999,60.108002,60.189999,55.812405,2100
10/23/18,59.349998,60.139999,58.945,59.869999,55.515663,8300
10/24/18,59.950001,59.950001,58.049999,58.049999,53.82803,11700
10/25/18,58.549999,59.43,58.549999,59.080002,54.783119,16400
10/26/18,57.990002,58.419998,57.389999,58,53.781685,13000
10/29/18,58.744999,58.744999,57,57.68,53.484943,6900
10/30/18,57.889999,58.369999,57.779999,58.296001,54.056156,19300
10/31/18,59.285,59.605999,59.25,59.605999,55.270866,1300
11/1/18,59.509998,59.869999,59.507999,59.869999,55.515663,5800
11/2/18,59.959999,59.959999,59.110001,59.48,55.154034,2700
11/5/18,59.423,59.860001,59.423,59.860001,55.506393,9900
11/6/18,59.889999,60.023998,59.828999,60.014999,55.65012,3600
11/7/18,60.790001,61.509998,60.68,61.509998,57.036385,10200
11/8/18,61.459999,61.549999,61.205002,61.205002,56.753586,3700
11/9/18,60.808998,60.808998,60.638,60.75,56.331676,8100
11/12/18,60.869999,60.869999,59.830002,59.830002,55.478584,16500
11/13/18,59.950001,60.07,59.659,59.669998,55.330215,19400
11/14/18,59.990002,59.990002,58.880001,59.220001,54.912937,22800
11/15/18,58.900002,59.98,58.849998,59.880001,55.52494,13400
11/16/18,59.82,60.158001,59.599998,60.009998,55.645485,6700
11/19/18,59.700001,59.700001,58.860001,59.02,54.727489,6600
11/20/18,58.040001,58.349998,57.830002,57.959999,53.744579,31700
11/21/18,58.450001,58.450001,58.189999,58.189999,53.957863,3600
11/23/18,57.860001,58.080002,57.860001,58.080002,53.855862,1100
11/26/18,58.509998,58.779999,58.397999,58.779999,54.504948,3600
11/27/18,58.66,59.02,58.450001,59.02,54.727489,23700
